學年度,縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
103,19,臺中市,191309,私立明德高中,45,125,24,20,7,16,92,676,3477,137,1371
103,19,臺中市,191311,私立衛道高中,72,69,2,3,11,19,24,746,363,252,124
103,19,臺中市,191313,私立曉明女中,30,70,3,13,2,15,17,0,807,0,291
103,19,臺中市,191314,私立嶺東高中,66,91,24,11,9,22,85,2232,1791,734,608
103,19,臺中市,193303,市立忠明高中,36,87,0,0,0,16,27,509,631,159,215
103,19,臺中市,193313,市立西苑高中,64,134,0,0,2,18,27,549,572,156,205
103,19,臺中市,193315,市立東山高中,75,148,0,0,9,12,29,598,610,172,194
103,19,臺中市,193316,市立惠文高中,66,95,0,0,1,15,30,553,678,153,275
103,20,嘉義市,200302,國立嘉義女中,39,68,3,17,6,16,48,0,1888,0,625
103,20,嘉義市,200303,國立嘉義高中,76,74,17,44,7,21,69,2289,160,741,62
103,20,嘉義市,201304,私立興華高中,55,79,0,0,6,17,45,1060,1025,338,352
103,20,嘉義市,201309,私立仁義高中,9,3,0,1,1,1,14,233,138,63,28
103,20,嘉義市,201310,私立嘉華高中,28,26,6,2,6,5,17,428,259,125,122
103,20,嘉義市,201312,私立輔仁高中,37,32,1,1,3,13,15,382,250,155,63
103,20,嘉義市,201313,私立宏仁女中,10,37,0,2,3,13,11,0,477,0,244
103,20,嘉義市,201314,私立立仁高中,11,14,2,4,2,9,12,193,292,88,160
103,21,臺南市,210303,國立臺南二中,56,74,1,5,3,20,57,2190,71,724,22
103,21,臺南市,210305,國立臺南一中,89,64,19,13,5,20,67,2355,85,813,40
103,21,臺南市,210306,國立臺南女中,41,91,15,78,6,18,57,10,2263,5,756
103,21,臺南市,210309,國立家齊女中,31,83,7,10,5,17,54,22,1975,0,671
103,21,臺南市,211301,私立長榮高中,110,104,8,5,33,15,105,2772,1946,945,624
103,21,臺南市,211302,私立長榮女中,15,57,7,35,7,22,39,0,1455,0,567
103,21,臺南市,211304,財團法人聖功女中,33,78,1,3,3,26,21,0,938,0,337
103,21,臺南市,211310,臺南市光華高中,15,62,2,13,2,14,38,195,1499,7,490
103,21,臺南市,211314,私立六信高中,17,21,24,19,5,7,31,504,379,163,129
103,21,臺南市,211315,私立瀛海高中,47,44,0,0,5,11,21,583,356,214,131
103,21,臺南市,211317,私立崑山高中,49,51,35,31,8,28,71,1411,787,703,410
103,21,臺南市,211318,私立德光高中,34,83,0,3,3,26,33,441,1057,51,472
103,21,臺南市,211320,財團法人慈濟高中,32,60,2,3,8,17,15,215,213,122,107
